country,date,decklist,event,format,hero,result,deck_link,event_type,deck_id
France,18 Jul 2026,"Tom Escoffier – Arakni, Marionette – Calling: Las Vegas 2026",Calling: Las Vegas 2026,Classic Constructed,"Arakni, Marionette",3rd,https://fabtcg.com/decklists/tom-escoffier-arakni-marionette-calling-las-vegas/ ,calling,78ff4ef5c9b5632c8b5386de4f144e4b_TE–AM–CLV20263rd
United States of America,18 Jul 2026,Richard Truong – Dorinthea Ironsong – Calling: Las Vegas 2026,Calling: Las Vegas 2026,Classic Constructed,Dorinthea Ironsong,3rd,https://fabtcg.com/decklists/richard-truong-dorinthea-ironsong-calling-las-vegas/ ,calling,0c9f16f2c86592687a99a7d008d3e3d0_RT–DI–CLV20263rd
Taiwan,18 Jul 2026,"Xincheng Hou – Teklovossen, Esteemed Magnate – Calling: Las Vegas 2026",Calling: Las Vegas 2026,Classic Constructed,"Teklovossen, Esteemed Magnate",5th,https://fabtcg.com/decklists/xincheng-hou-teklovossen-esteemed-magnate-calling-las-vegas/ ,calling,b976f5a49488e642529531571558100f_XH–TEM–CLV20265th
United States of America,18 Jul 2026,"Trenton Gutridge – Oscilio, Constella Intelligence – Calling: Las Vegas 2026",Calling: Las Vegas 2026,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/trenton-gutridge-oscilio-constella-intelligence-calling-las-vegas/ ,calling,6a1e0309aeea2df549c55943b5db7de3_TG–OCI–CLV20265th
United States of America,18 Jul 2026,Shin Inoue – Dorinthea Ironsong – Calling: Las Vegas 2026,Calling: Las Vegas 2026,Classic Constructed,Dorinthea Ironsong,5th,https://fabtcg.com/decklists/shin-inoue-dorinthea-ironsong-calling-las-vegas/ ,calling,4b5fdf350f1234482087f7eb8def70c8_SI–DI–CLV20265th
United States of America,18 Jul 2026,"Arjun Garg – Arakni, Marionette – Calling: Las Vegas 2026",Calling: Las Vegas 2026,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/arjun-garg-arakni-marionette-calling-las-vegas/ ,calling,cc607f5e318f3910e74a68782aaacb42_AG–AM–CLV20265th
United Kingdom,17 Jul 2026,"Jacob Clements – Arakni, Marionette – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/jacob-clements-arakni-marionette-pro-tour-las-vegas/ ,pro tour,136980f56f792f9cca13762e51cba37c_JC–AM–PTLV20261st
Brazil,17 Jul 2026,"Filipe L. Cardoso – Oscilio, Constella Intelligence – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Oscilio, Constella Intelligence",2nd,https://fabtcg.com/decklists/filipe-l-cardoso-oscilio-constella-intelligence-pro-tour-las-vegas/ ,pro tour,fd069212467c4cfd1e68ad457ba2f0e5_FLC–OCI–PTLV20262nd
United States of America,17 Jul 2026,"Alexander Vore – Oscilio, Constella Intelligence – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Oscilio, Constella Intelligence",3rd,https://fabtcg.com/decklists/alexander-vore-oscilio-constella-intelligence-pro-tour-las-vegas/ ,pro tour,6905bf41197d67a0aa4591aef9ed5976_AV–OCI–PTLV20263rd
United States of America,17 Jul 2026,"Jonathan Magnuson – Betsy, Skin in the Game – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Betsy, Skin in the Game",3rd,https://fabtcg.com/decklists/jonathan-magnuson-betsy-skin-in-the-game-pro-tour-las-vegas/ ,pro tour,d3417a779818de6f740068dc71e86476_JM–BSitG–PTLV20263rd
United States of America,17 Jul 2026,"Bryce Stroyek – Betsy, Skin in the Game – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Betsy, Skin in the Game",5th,https://fabtcg.com/decklists/bryce-stroyek-betsy-skin-in-the-game-pro-tour-las-vegas/ ,pro tour,580aaacf4b7d3aca849b3e3b8ddeb472_BS–BSitG–PTLV20265th
Canada,17 Jul 2026,"Noah Clark – Gravy Bones, Shipwrecked Looter – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Gravy Bones, Shipwrecked Looter",5th,https://fabtcg.com/decklists/noah-clark-gravy-bones-shipwrecked-looter-pro-tour-las-vegas/ ,pro tour,8c0fc15df75cd3049c23bdbbdb41f56e_NC–GBSL–PTLV20265th
United States of America,17 Jul 2026,Michael Hamilton – Jarl Vetreiði – Pro Tour: Las Vegas 2026,Pro Tour: Las Vegas 2026,Classic Constructed,Jarl Vetreiði,5th,https://fabtcg.com/decklists/michael-hamilton-jarl-vetreii-pro-tour-las-vegas/ ,pro tour,ed561f611262a3921bf34d76fbd5ad0d_MH–JV–PTLV20265th
United States of America,17 Jul 2026,"Majin Bae – Oscilio, Constella Intelligence – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Oscilio, Constella Intelligence",5th,https://fabtcg.com/decklists/majin-bae-oscilio-constella-intelligence-pro-tour-las-vegas/ ,pro tour,5eaa670e1d59a867e8e8240ef468ed48_MB–OCI–PTLV20265th
Poland,17 Jul 2026,"Mariusz Suchanecki – Hala, Bladesaint of the Vow – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Hala, Bladesaint of the Vow",50th,https://fabtcg.com/decklists/mariusz-suchanecki-hala-bladesaint-of-the-vow-pro-tour-las-vegas/ ,pro tour,b87e1ba772bd2b518f8cd3b0870ac7c2_MS–HBotV–PTLV202650th
Canada,17 Jul 2026,Lucas Ng – Zyggy Starlight – Pro Tour: Las Vegas 2026,Pro Tour: Las Vegas 2026,Classic Constructed,Zyggy Starlight,not informed,https://fabtcg.com/decklists/lucas-ng-zyggy-starlight-pro-tour-las-vegas/ ,pro tour,63cfb41a92e2c80d24e9dc914f8e7e7d_LN–ZS–PTLV2026
United States of America,16 Jul 2026,"Andrew Lorenz – Aurora, Legacy of Tempest – Pro Tour: Las Vegas 2026",Pro Tour: Las Vegas 2026,Classic Constructed,"Aurora, Legacy of Tempest",23rd,https://fabtcg.com/decklists/andrew-lorenz-aurora-legacy-of-tempest-pro-tour-las-vegas/ ,pro tour,0331bc653c404b17d0b91588f7e9c32c_AL–ALoT–PTLV202623rd
Thailand,11 Jul 2026,"Louis Glenn – Lyath Goldmane, Vile Savant – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Lyath Goldmane, Vile Savant",not informed,https://fabtcg.com/decklists/louis-glenn-lyath-goldmane-vile-savant-calling-shinjuku/ ,calling,bca9f48beecf26ed948bed9d1c30fccd_LG–LGVS–CS2026
Japan,11 Jul 2026,"Ryo Takashima – Blaze, Firemind – Sunday Showdown: Shinjuku 2026",Sunday Showdown: Shinjuku 2026,Silver Age,"Blaze, Firemind",1st,https://fabtcg.com/decklists/ryo-takashima-blaze-firemind-sunday-showdown-shinjuku/ ,sunday showdown,df213b5d185316b2bec2c1365e2f5854_RT–BF–SSS20261st
Japan,11 Jul 2026,"Takamasa Kamei – Bravo, Flattering Showman – Sunday Showdown: Shinjuku 2026",Sunday Showdown: Shinjuku 2026,Silver Age,"Bravo, Flattering Showman",2nd,https://fabtcg.com/decklists/takamasa-kamei-bravo-flattering-showman-sunday-showdown-shinjuku/ ,sunday showdown,556e348edc787a02f019afe3046a12a5_TK–BFS–SSS20262nd
Japan,11 Jul 2026,ゆうひ 石丸 – Florian – Sunday Showdown: Shinjuku 2026,Sunday Showdown: Shinjuku 2026,Silver Age,Florian,3rd,https://fabtcg.com/decklists/florian-sunday-showdown-shinjuku/ ,sunday showdown,94fac9a0b30b9cc55975ac1e5807424f_ゆ石–F–SSS20263rd
Japan,11 Jul 2026,Kohaku Ishimaru – Briar – Sunday Showdown: Shinjuku 2026,Sunday Showdown: Shinjuku 2026,Silver Age,Briar,3rd,https://fabtcg.com/decklists/kohaku-ishimaru-briar-sunday-showdown-shinjuku/ ,sunday showdown,36f8e310c8d64813d9430078cd624590_KI–B–SSS20263rd
Japan,11 Jul 2026,嵩 小山内 – Olympia – Sunday Showdown: Shinjuku 2026,Sunday Showdown: Shinjuku 2026,Silver Age,Olympia,5th,https://fabtcg.com/decklists/olympia-sunday-showdown-shinjuku/ ,sunday showdown,bc909f6ee94640d7956691b0728174e7_嵩小–O–SSS20265th
Japan,11 Jul 2026,Miyaji Kotaro – Dromai – Sunday Showdown: Shinjuku 2026,Sunday Showdown: Shinjuku 2026,Silver Age,Dromai,5th,https://fabtcg.com/decklists/miyaji-kotaro-dromai-sunday-showdown-shinjuku/ ,sunday showdown,47201154a0b82c3a8db0915b388b5890_MK–D–SSS20265th
Japan,11 Jul 2026,TSUNAKI SAWAI – Lexi – Sunday Showdown: Shinjuku 2026,Sunday Showdown: Shinjuku 2026,Silver Age,Lexi,5th,https://fabtcg.com/decklists/tsunaki-sawai-lexi-sunday-showdown-shinjuku/ ,sunday showdown,2e4a5d7bd657854e43c4de5a945a0e91_TS–L–SSS20265th
Hong Kong,11 Jul 2026,Pudding Tam – Briar – Sunday Showdown: Shinjuku 2026,Sunday Showdown: Shinjuku 2026,Silver Age,Briar,5th,https://fabtcg.com/decklists/pudding-tam-briar-sunday-showdown-shinjuku/ ,sunday showdown,eb77160f36d3c5bb17ee91a568068d71_PT–B–SSS20265th
United Kingdom,10 Jul 2026,"Jacob Clements – Arakni, Marionette – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/jacob-clements-arakni-marionette-calling-shinjuku/ ,calling,b6bc3ec7da306ca3c0421885667a46b8_JC–AM–CS20261st
Japan,10 Jul 2026,hirotsugu shimauchi – Kassai of the Golden Sand – Calling: Shinjuku 2026,Calling: Shinjuku 2026,Classic Constructed,Kassai of the Golden Sand,2nd,https://fabtcg.com/decklists/hirotsugu-shimauchi-kassai-of-the-golden-sand-calling-shinjuku/ ,calling,0daf2e8b9727dcc530e0d6c769420038_hs–KotGS–CS20262nd
Singapore,10 Jul 2026,"Fu Kah Deng – Arakni, Huntsman – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Arakni, Huntsman",3rd,https://fabtcg.com/decklists/fu-kah-deng-arakni-huntsman-calling-shinjuku/ ,calling,d6823832589767901c7c9648584ceafb_FKD–AH–CS20263rd
Japan,10 Jul 2026,shoma yamamura – Kassai of the Golden Sand – Calling: Shinjuku 2026,Calling: Shinjuku 2026,Classic Constructed,Kassai of the Golden Sand,3rd,https://fabtcg.com/decklists/shoma-yamamura-kassai-of-the-golden-sand-calling-shinjuku/ ,calling,090806453b11f65b7b6aeaec87be69c3_sy–KotGS–CS20263rd
Taiwan,10 Jul 2026,Lee Ming-Han – Kassai of the Golden Sand – Calling: Shinjuku 2026,Calling: Shinjuku 2026,Classic Constructed,Kassai of the Golden Sand,5th,https://fabtcg.com/decklists/lee-ming-han-kassai-of-the-golden-sand-calling-shinjuku/ ,calling,690e3d94fcd3a26850828de9f73c2466_LM–KotGS–CS20265th
United States of America,10 Jul 2026,"Brodie Spurlock – Vynnset, Iron Maiden – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Vynnset, Iron Maiden",5th,https://fabtcg.com/decklists/brodie-spurlock-vynnset-iron-maiden-calling-shinjuku/ ,calling,86eca3709bbc26cf13a744986023b2da_BS–VIM–CS20265th
Hong Kong,10 Jul 2026,"Law Wen – Arakni, Marionette – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Arakni, Marionette",5th,https://fabtcg.com/decklists/law-wen-arakni-marionette-calling-shinjuku/ ,calling,68b7d828cf2b23ea5d8dd9ca93042165_LW–AM–CS20265th
Australia,10 Jul 2026,Sam Sutherland – Dash I/O – Calling: Shinjuku 2026,Calling: Shinjuku 2026,Classic Constructed,Dash I/O,5th,https://fabtcg.com/decklists/sam-sutherland-dash-io-calling-shinjuku/ ,calling,9e351d34bd07660326bef3b7db5da4ea_SS–DI–CS20265th
Japan,10 Jul 2026,"Hayate Nakamura – Ira, Scarlet Revenger – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Ira, Scarlet Revenger",16th,https://fabtcg.com/decklists/hayate-nakamura-ira-scarlet-revenger-calling-shinjuku/ ,calling,3f7d2e3d747b37bb53405a2c550fc933_HN–ISR–CS202616th
Japan,10 Jul 2026,"Masay Toda – Betsy, Skin in the Game – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Betsy, Skin in the Game",41st,https://fabtcg.com/decklists/masay-toda-betsy-skin-in-the-game-calling-shinjuku/ ,calling,fd5d9866e6cdb6783ee22e81ab9b0344_MT–BSitG–CS202641st
Japan,10 Jul 2026,"Yuusuke Kiguchi – Ira, Scarlet Revenger – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Ira, Scarlet Revenger",44th,https://fabtcg.com/decklists/yuusuke-kiguchi-ira-scarlet-revenger-calling-shinjuku/ ,calling,3584b9b91009cf55340414663b67b36f_YK–ISR–CS202644th
France,10 Jul 2026,"Evan Tanguy – Gravy Bones, Shipwrecked Looter – Calling: Shinjuku 2026",Calling: Shinjuku 2026,Classic Constructed,"Gravy Bones, Shipwrecked Looter",9th,https://fabtcg.com/decklists/evan-tanguy-gravy-bones-shipwrecked-looter-calling-shinjuku/ ,calling,5d1eb074a2eb60bedf70b090e34095e6_ET–GBSL–CS20269th
Australia,04 Jul 2026,"Andy Pham – Katsu, the Wanderer – National Championship 2026 – Australia",National Championship 2026 - Australia,Classic Constructed,"Katsu, the Wanderer",1st,https://fabtcg.com/decklists/andy-pham-katsu-the-wanderer-national-championship-2026-australia/ ,national,f1182bbb6007b46da6859de9f04a76a9_AP–KtW–NC2–Australia1st
Austria,04 Jul 2026,Luka Leko – Jarl Vetreiði – National Championship 2026 – Austria,National Championship 2026 - Austria,Classic Constructed,Jarl Vetreiði,1st,https://fabtcg.com/decklists/luka-leko-jarl-vetreii-national-championship-2026-austria/ ,national,efa360145236e53f5a594224dbba943b_LL–JV–NC2–Austria1st
Canada,04 Jul 2026,"Kevin Constantineau – Oscilio, Constella Intelligence – National Championship 2026 – Canada",National Championship 2026 - Canada,Classic Constructed,"Oscilio, Constella Intelligence",1st,https://fabtcg.com/decklists/kevin-constantineau-oscilio-constella-intelligence-national-championship-2026-canada/ ,national,cff98b255aab4f5be58dade3d3c6cebb_KC–OCI–NC2–Canada1st
Chile,04 Jul 2026,"Jorge Yarza – Fai, Rising Rebellion – National Championship 2026 – Chile",National Championship 2026 - Chile,Classic Constructed,"Fai, Rising Rebellion",1st,https://fabtcg.com/decklists/jorge-yarza-fai-rising-rebellion-national-championship-2026-chile/ ,national,eb714e0c8975aa268ddf3fa05454429e_JY–FRR–NC2–Chile1st
China,04 Jul 2026,"Jinghao Shi – Arakni, Marionette – National Championship 2026 – China",National Championship 2026 - China,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/jinghao-shi-arakni-marionette-national-championship-2026-china/ ,national,f2f781d99abc98f4f6d5de670761c540_JS–AM–NC2–China1st
Croatia,04 Jul 2026,"Luka Kramaric – Victor Goldmane, High and Mighty – National Championship 2026 – Croatia",National Championship 2026 - Croatia,Classic Constructed,"Victor Goldmane, High and Mighty",1st,https://fabtcg.com/decklists/luka-kramaric-victor-goldmane-high-and-mighty-national-championship-2026-croatia/ ,national,ae95798b1b449ebe64fc202f4369b7e7_LK–VGHaM–NC2–Croatia1st
Czechia,04 Jul 2026,Martin Okruhlica – Jarl Vetreiði – National Championship 2026 – Czechia,National Championship 2026 - Czechia,Classic Constructed,Jarl Vetreiði,1st,https://fabtcg.com/decklists/martin-okruhlica-jarl-vetreii-national-championship-2026-czechia/ ,national,4178541cdc9ad39d036c7c3e13ce42a5_MO–JV–NC2–Czechia1st
Germany,04 Jul 2026,"Konrad Weiss – Oscilio, Constella Intelligence – National Championship 2026 – Germany",National Championship 2026 - Germany,Classic Constructed,"Oscilio, Constella Intelligence",1st,https://fabtcg.com/decklists/konrad-weiss-oscilio-constella-intelligence-national-championship-2026-germany/ ,national,38e9fd554040523b934f7ece9c70f17b_KW–OCI–NC2–Germany1st
Greece,04 Jul 2026,"axilleas siskopoulos – Vynnset, Iron Maiden – National Championship 2026 – Greece",National Championship 2026 - Greece,Classic Constructed,"Vynnset, Iron Maiden",1st,https://fabtcg.com/decklists/axilleas-siskopoulos-vynnset-iron-maiden-national-championship-2026-greece/ ,national,6fa13345f70d907105130575bc9e3f24_as–VIM–NC2–Greece1st
Hungary,04 Jul 2026,"Marcell Vass – Puffin, Hightail – National Championship 2026 – Hungary",National Championship 2026 - Hungary,Classic Constructed,"Puffin, Hightail",1st,https://fabtcg.com/decklists/marcell-vass-puffin-hightail-national-championship-2026-hungary/ ,national,1977b7e96eb7a6b06dc181d90a34c506_MV–PH–NC2–Hungary1st
Indonesia,04 Jul 2026,"Melvin Tan – Vynnset, Iron Maiden – National Championship 2026 – Indonesia",National Championship 2026 - Indonesia,Classic Constructed,"Vynnset, Iron Maiden",1st,https://fabtcg.com/decklists/melvin-tan-vynnset-iron-maiden-national-championship-2026-indonesia/ ,national,8b4af39eebf5d19ea0975f2403c1ec50_MT–VIM–NC2–Indonesia1st
Ireland,04 Jul 2026,"Ryan Porter – Puffin, Hightail – National Championship 2026 – Ireland",National Championship 2026 - Ireland,Classic Constructed,"Puffin, Hightail",1st,https://fabtcg.com/decklists/ryan-porter-puffin-hightail-national-championship-2026-ireland/ ,national,4100b57841aee9975ed44b3f483858d7_RP–PH–NC2–Ireland1st
Italy,04 Jul 2026,"Lorenzo Brambilla Pisoni – Gravy Bones, Shipwrecked Looter – National Championship 2026 – Italy",National Championship 2026 - Italy,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/lorenzo-brambilla-pisoni-gravy-bones-shipwrecked-looter-national-championship-2026-italy/ ,national,a3b4ecefebdb7719d533c57e1dd6619d_LBP–GBSL–NC2–Italy1st
Latvia,04 Jul 2026,"Jurgis Krikis – Victor Goldmane, High and Mighty – National Championship 2026 – Latvia",National Championship 2026 - Latvia,Classic Constructed,"Victor Goldmane, High and Mighty",1st,https://fabtcg.com/decklists/jurgis-krikis-victor-goldmane-high-and-mighty-national-championship-2026-latvia/ ,national,e854c245c64ed6ab25fecc95d2d7bb2d_JK–VGHaM–NC2–Latvia1st
Malaysia,04 Jul 2026,"Kiran Ganesan – Victor Goldmane, High and Mighty – National Championship 2026 – Malaysia",National Championship 2026 - Malaysia,Classic Constructed,"Victor Goldmane, High and Mighty",1st,https://fabtcg.com/decklists/kiran-ganesan-victor-goldmane-high-and-mighty-national-championship-2026-malaysia/ ,national,a8fba6e7f411f3baa6d9ca49a461ea86_KG–VGHaM–NC2–Malaysia1st
Norway,04 Jul 2026,"Steffen Bergo Jenssen – Oscilio, Constella Intelligence – National Championship 2026 – Norway",National Championship 2026 - Norway,Classic Constructed,"Oscilio, Constella Intelligence",1st,https://fabtcg.com/decklists/steffen-bergo-jenssen-oscilio-constella-intelligence-national-championship-2026-norway/ ,national,90a97a5950e57775a6b90ed7e968c11b_SBJ–OCI–NC2–Norway1st
Philippines,04 Jul 2026,"Alec Xavier Que Esteves – Cindra, Dracai of Retribution – National Championship 2026 – Philippines",National Championship 2026 - Philippines,Classic Constructed,"Cindra, Dracai of Retribution",1st,https://fabtcg.com/decklists/alec-xavier-que-esteves-cindra-dracai-of-retribution-national-championship-2026-philippines/ ,national,80d7bc55ed2f2ca4bdf5a9401c588066_AXQE–CDoR–NC2–Philippines1st
Poland,04 Jul 2026,"Bartosz Dobrowolski – Arakni, Marionette – National Championship 2026 – Poland",National Championship 2026 - Poland,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/bartosz-dobrowolski-arakni-marionette-national-championship-2026-poland/ ,national,798d1de30e810c9849fc91ae9fd54f39_BD–AM–NC2–Poland1st
Portugal,04 Jul 2026,"Tiago Polónio – Victor Goldmane, High and Mighty – National Championship 2026 – Portugal",National Championship 2026 - Portugal,Classic Constructed,"Victor Goldmane, High and Mighty",1st,https://fabtcg.com/decklists/tiago-polonio-victor-goldmane-high-and-mighty-national-championship-2026-portugal/ ,national,9ae31e015f5c30e2d00dcd25072e1cbc_TP–VGHaM–NC2–Portugal1st
Serbia,04 Jul 2026,Boris Martinovic – Jarl Vetreiði – National Championship 2026 – Serbia,National Championship 2026 - Serbia,Classic Constructed,Jarl Vetreiði,1st,https://fabtcg.com/decklists/boris-martinovic-jarl-vetreii-national-championship-2026-serbia/ ,national,2f1251371a5effcd69905a86eb9f0c4d_BM–JV–NC2–Serbia1st
Spain,04 Jul 2026,Pablo Pintor – Jarl Vetreiði – National Championship 2026 – Spain,National Championship 2026 - Spain,Classic Constructed,Jarl Vetreiði,1st,https://fabtcg.com/decklists/pablo-pintor-jarl-vetreii-national-championship-2026-spain/ ,national,773ecd9b647df36a3cb08d58961d9a40_PP–JV–NC2–Spain1st
Sweden,04 Jul 2026,"Jacob Trossing – Arakni, Marionette – National Championship 2026 – Sweden",National Championship 2026 - Sweden,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/jacob-trossing-arakni-marionette-national-championship-2026-sweden/ ,national,a5a90c912761e080c6ecf7f9432df010_JT–AM–NC2–Sweden1st
Switzerland,04 Jul 2026,Lars Seebacher – Dash I/O – National Championship 2026 – Switzerland,National Championship 2026 - Switzerland,Classic Constructed,Dash I/O,1st,https://fabtcg.com/decklists/lars-seebacher-dash-io-national-championship-2026-switzerland/ ,national,a88bc7c1de32e70de1598ddb90d023b9_LS–DI–NC2–Switzerland1st
Thailand,04 Jul 2026,"Chanon Puttaree – Gravy Bones, Shipwrecked Looter – National Championship 2026 – Thailand",National Championship 2026 - Thailand,Classic Constructed,"Gravy Bones, Shipwrecked Looter",1st,https://fabtcg.com/decklists/chanon-puttaree-gravy-bones-shipwrecked-looter-national-championship-2026-thailand/ ,national,7c86cfacb9c2653e1bf0f1452db28857_CP–GBSL–NC2–Thailand1st
United Kingdom,04 Jul 2026,"Jacob Clements – Arakni, Marionette – National Championship 2026 – United Kingdom",National Championship 2026 - United Kingdom,Classic Constructed,"Arakni, Marionette",1st,https://fabtcg.com/decklists/jacob-clements-arakni-marionette-national-championship-2026-united-kingdom/ ,national,54c72d2c76c394968c9fb8189bde83e1_JC–AM–NC2–UKingdom1st
Belgium,27 Jun 2026,Warre Sevens – Dash I/O – National Championship 2026 – Belgium,National Championship 2026 - Belgium,Classic Constructed,Dash I/O,1st,https://fabtcg.com/decklists/warre-sevens-dash-io-national-championship-2026-belgium/ ,national,518eb7385070a82af87610699847d472_WS–DI–NC2–Belgium1st
Brazil,27 Jun 2026,"Michel Verissimo da Silva Luiz – Oscilio, Constella Intelligence – National Championship 2026 – Brazil",National Championship 2026 - Brazil,Classic Constructed,"Oscilio, Constella Intelligence",1st,https://fabtcg.com/decklists/michel-verissimo-da-silva-luiz-oscilio-constella-intelligence-national-championship-2026-brazil/ ,national,cd7a381bab413e8a493badc17e43ab21_MVdSL–OCI–NC2–Brazil1st
Taiwan,27 Jun 2026,Lee Ming-Han – Kassai of the Golden Sand – National Championship 2026 – Chinese Taipei,National Championship 2026 - Chinese Taipei,Classic Constructed,Kassai of the Golden Sand,1st,https://fabtcg.com/decklists/lee-ming-han-kassai-of-the-golden-sand-national-championship-2026-chinese-taipei/ ,national,4355ecfdc5d449340cf59a840a76ade9_LM–KotGS–NC2–CTaipei1st
Cyprus,27 Jun 2026,Nicolas Kyriakou – Zyggy Starlight – National Championship 2026 – Cyprus,National Championship 2026 - Cyprus,Classic Constructed,Zyggy Starlight,1st,https://fabtcg.com/decklists/nicolas-kyriakou-zyggy-starlight-national-championship-2026-cyprus/ ,national,ae68734f30abd03aa936164eebc0eda2_NK–ZS–NC2–Cyprus1st
Denmark,27 Jun 2026,Victor Brøcker – Zyggy Starlight – National Championship 2026 – Denmark,National Championship 2026 - Denmark,Classic Constructed,Zyggy Starlight,1st,https://fabtcg.com/decklists/victor-brcker-zyggy-starlight-national-championship-2026-denmark/ ,national,0f09a267b8facb880234b436c76792e3_VB–ZS–NC2–Denmark1st
